# ik    E (eV)      weight
    0.000000   -3.000000    0.929932
    0.000000   -2.950000    0.623159
    0.000000   -2.900000    0.458195
    0.000000   -2.850000    0.361167
    0.000000   -2.800000    0.300888
    0.000000   -2.750000    0.262534
    0.000000   -2.700000    0.238467
    0.000000   -2.650000    0.224570
    0.000000   -2.600000    0.218657
    0.000000   -2.550000    0.219743
    0.000000   -2.500000    0.227751
    0.000000   -2.450000    0.243479
    0.000000   -2.400000    0.268833
    0.000000   -2.350000    0.307439
    0.000000   -2.300000    0.366054
    0.000000   -2.250000    0.457869
    0.000000   -2.200000    0.611161
    0.000000   -2.150000    0.895578
    0.000000   -2.100000    1.518865
    0.000000   -2.050000    3.231902
    0.000000   -2.000000    6.975284
    0.000000   -1.950000    5.057206
    0.000000   -1.900000    4.111563
    0.000000   -1.850000    6.933361
    0.000000   -1.800000    6.100925
    0.000000   -1.750000    4.091088
    0.000000   -1.700000    5.893284
    0.000000   -1.650000    9.462518
    0.000000   -1.600000    9.272894
    0.000000   -1.550000    5.252107
    0.000000   -1.500000    2.301659
    0.000000   -1.450000    1.257052
    0.000000   -1.400000    0.804733
    0.000000   -1.350000    0.569264
    0.000000   -1.300000    0.430595
    0.000000   -1.250000    0.341784
    0.000000   -1.200000    0.281450
    0.000000   -1.150000    0.238696
    0.000000   -1.100000    0.207487
    0.000000   -1.050000    0.184260
    0.000000   -1.000000    0.166812
    0.000000   -0.950000    0.153741
    0.000000   -0.900000    0.144140
    0.000000   -0.850000    0.137437
    0.000000   -0.800000    0.133301
    0.000000   -0.750000    0.131600
    0.000000   -0.700000    0.132391
    0.000000   -0.650000    0.135944
    0.000000   -0.600000    0.142816
    0.000000   -0.550000    0.153986
    0.000000   -0.500000    0.171148
    0.000000   -0.450000    0.197275
    0.000000   -0.400000    0.237859
    0.000000   -0.350000    0.303832
    0.000000   -0.300000    0.419301
    0.000000   -0.250000    0.645423
    0.000000   -0.200000    1.169148
    0.000000   -0.150000    2.680204
    0.000000   -0.100000    6.201280
    0.000000   -0.050000    4.019971
    0.000000    0.000000    1.634898
    0.000000    0.050000    0.868260
    0.000000    0.100000    0.589510
    0.000000    0.150000    0.489380
    0.000000    0.200000    0.487685
    0.000000    0.250000    0.583290
    0.000000    0.300000    0.852259
    0.000000    0.350000    1.588993
    0.000000    0.400000    3.882645
    0.000000    0.450000    6.282510
    0.000000    0.500000    2.773952
    0.000000    0.550000    1.198313
    0.000000    0.600000    0.656010
    0.000000    0.650000    0.423554
    0.000000    0.700000    0.305442
    0.000000    0.750000    0.238220
    0.000000    0.800000    0.197037
    0.000000    0.850000    0.170694
    0.000000    0.900000    0.153609
    0.000000    0.950000    0.142803
    0.000000    1.000000    0.136640
    0.000000    1.050000    0.134247
    0.000000    1.100000    0.135259
    0.000000    1.150000    0.139704
    0.000000    1.200000    0.148018
    0.000000    1.250000    0.161152
    0.000000    1.300000    0.180857
    0.000000    1.350000    0.210293
    0.000000    1.400000    0.255368
    0.000000    1.450000    0.327963
    0.000000    1.500000    0.454596
    0.000000    1.550000    0.703657
    0.000000    1.600000    1.288789
    0.000000    1.650000    3.003219
    0.000000    1.700000    6.441064
    0.000000    1.750000    3.676414
    0.000000    1.800000    1.565934
    0.000000    1.850000    0.898560
    0.000000    1.900000    0.669134
    0.000000    1.950000    0.615100
    0.000000    2.000000    0.679295
    0.000000    2.050000    0.897499
    0.000000    2.100000    1.458297
    0.000000    2.150000    3.091093
    0.000000    2.200000    6.744381
    0.000000    2.250000    4.693820
    0.000000    2.300000    3.273202
    0.000000    2.350000    5.233568
    0.000000    2.400000    6.265538
    0.000000    2.450000    2.690734
    0.000000    2.500000    1.319654
    0.000000    2.550000    0.829549
    0.000000    2.600000    0.625220
    0.000000    2.650000    0.545253
    0.000000    2.700000    0.544426
    0.000000    2.750000    0.626480
    0.000000    2.800000    0.851059
    0.000000    2.850000    1.434156
    0.000000    2.900000    3.194916
    0.000000    2.950000    6.587983
    0.000000    3.000000    3.720917
 
    0.009795   -3.000000    0.925296
    0.009795   -2.950000    0.620860
    0.009795   -2.900000    0.456902
    0.009795   -2.850000    0.360369
    0.009795   -2.800000    0.300358
    0.009795   -2.750000    0.262161
    0.009795   -2.700000    0.238187
    0.009795   -2.650000    0.224347
    0.009795   -2.600000    0.218466
    0.009795   -2.550000    0.219565
    0.009795   -2.500000    0.227567
    0.009795   -2.450000    0.243267
    0.009795   -2.400000    0.268560
    0.009795   -2.350000    0.307048
    0.009795   -2.300000    0.365433
    0.009795   -2.250000    0.456777
    0.009795   -2.200000    0.609011
    0.009795   -2.150000    0.890699
    0.009795   -2.100000    1.505488
    0.009795   -2.050000    3.188007
    0.009795   -2.000000    6.942368
    0.009795   -1.950000    5.130179
    0.009795   -1.900000    4.152208
    0.009795   -1.850000    6.978399
    0.009795   -1.800000    6.134465
    0.009795   -1.750000    4.244159
    0.009795   -1.700000    6.370301
    0.009795   -1.650000    8.654711
    0.009795   -1.600000    8.429042
    0.009795   -1.550000    5.761045
    0.009795   -1.500000    2.473897
    0.009795   -1.450000    1.311608
    0.009795   -1.400000    0.826162
    0.009795   -1.350000    0.579224
    0.009795   -1.300000    0.435826
    0.009795   -1.250000    0.344792
    0.009795   -1.200000    0.283304
    0.009795   -1.150000    0.239904
    0.009795   -1.100000    0.208309
